Return Year,Stream,Escapement_Above_Weir,MPE_Redd_Above_Weir,MPE_Redd_Below_Weir,SPI_Redd_Above_Weir,SPI_Redd_Below_Weir,Natural,Hatchery,Male,Female,Spawned,Prespawned
1998,Secesh River,NA,115,2,,,41,4,21,22,23,1
1999,Secesh River,NA,66,0,,,41,1,18,22,18,0
2000,Secesh River,NA,322,6,,,238,2,111,127,111,1
2001,Secesh River,NA,679,26,,,674,38,309,361,309,5
2002,Secesh River,NA,505,22,,,411,31,201,211,199,2
2003,Secesh River,NA,561,28,,,552,3,295,256,295,2
2004,Secesh River,914,395,4,,,293,7,153,139,153,4
2005,Secesh River,334,201,4,,,153,1,79,73,79,2
2006,Secesh River,223,74,1,,,60,4,27,33,27,2
2007,Secesh River,301,82,1,,,79,8,33,46,33,2
2008,Secesh River,901,374,10,,,316,25,162,151,162,4
2009,Secesh River,1139,422,3,,,323,10,155,166,155,0
2010,Secesh River,1154,541,21,,,505,3,271,231,271,6
2011,Secesh River,923,375,16,,,313,16,153,160,153,1
2012,Secesh River,908,371,7,,,340,4,197,140,197,1
2013,Secesh River,887,270,4,,,288,3,92,196,92,4
2014,Secesh River,1465,585,15,,,453,8,213,238,213,0
1998,Johnson Creek,107,80,16,,,98,1,27,70,55,3
1999,Johnson Creek,NA,24,0,,,22,0,12,10,10,0
2000,Johnson Creek,110,29,3,,,28,6,22,11,10,1
2001,Johnson Creek,1341,368,16,,,753,115,542,316,297,11
2002,Johnson Creek,1105,333,17,,,451,191,351,283,223,50
2003,Johnson Creek,714,333,30,,,420,105,241,277,248,29
2004,Johnson Creek,268,104,25,,,52,30,47,34,33,1
2005,Johnson Creek,119,45,10,,,45,38,54,27,25,1
2006,Johnson Creek,113,25,13,,,25,34,44,15,14,0
2007,Johnson Creek,336,66,8,,,51,68,91,28,26,2
2008,Johnson Creek,557,211,12,,,172,173,210,131,126,1
2009,Johnson Creek,762,235,16,,,120,258,261,112,103,5
2010,Johnson Creek,981,362,35,,,281,263,299,241,223,8
2011,Johnson Creek,866,218,17,,,199,143,238,87,79,3
2012,Johnson Creek,721,263,34,,,213,90,146,153,149,3
2013,Johnson Creek,1001,207,28,,,235,119,263,89,83,3
2014,Johnson Creek,1509,389,15,,,461,188,389,255,242,5
2015,Johnson Creek,948,247,10,,,55,56,56,53,53,0
2015,Secesh River,384,209,8,,,167,5,72,87,87,4
1999,Lolo Creek,,5,5,,,,,,,,
2000,Lolo Creek,,85,27,,,,,,,,
2001,Lolo Creek,,413,87,,,,,,,,
2002,Lolo Creek,681,206,0,91,38,109,27,85,69,47,7
2003,Lolo Creek,210,24,45,23,17,55,11,30,44,30,6
2004,Lolo Creek,180,45,112,30,90,63,44,49,67,55,3
2005,Lolo Creek,53,7,38,13,19,23,1,11,17,12,3
2006,Lolo Creek,12,1,8,3,7,2,1,3,2,1,0
2007,Lolo Creek,NA,1,13,4,48,14,1,8,8,6,2
2008,Lolo Creek,82,32,70,1,26,53,0,24,31,27,3
2009,Lolo Creek,33,8,40,1,30,20,4,11,14,13,1
2010,Lolo Creek,39,17,31,32,30,13,8,14,8,8,0
2011,Lolo Creek,479,140,0,8,0,38,94,46,80,57,9
2012,Lolo Creek,479,145,0,17,0,76,36,44,58,50,2
2013,Lolo Creek,259,80,0,63,0,20,17,11,23,15,4
2014,Lolo Creek,414,139,0,95,0,24,36,18,33,22,3
2015,Lolo Creek,365,35,0,33,0,12,13,12,14,8,0
1999,Newsome Creek,,0,0,,0,,,,,,
2000,Newsome Creek,,50,1,,0,,,,,,
2001,Newsome Creek,,220,15,,0,,,,,,
2002,Newsome Creek,239,52,0,11,0,35,13,31,20,9,9
2003,Newsome Creek,385,67,2,24,0,37,31,30,44,20,18
2004,Newsome Creek,88,36,0,22,0,12,5,10,7,3,4
2005,Newsome Creek,32,7,0,5,0,5,5,5,5,3,2
2006,Newsome Creek,2,1,3,0,0,1,0,3,0,0,0
2007,Newsome Creek,11,2,0,1,0,1,2,2,1,1,0
2008,Newsome Creek,63,18,4,11,0,5,7,7,4,4,0
2009,Newsome Creek,130,13,2,6,0,1,4,4,1,1,0
2010,Newsome Creek,183,43,3,8,0,10,39,22,26,14,8
2011,Newsome Creek,153,70,1,15,0,22,45,27,28,22,4
2012,Newsome Creek,149,41,0,15,0,16,24,18,26,13,4
2013,Newsome Creek,92,25,0,10,0,17,12,16,12,8,3
2014,Newsome Creek,96,40,5,13,0,21,14,11,23,21,0
2015,Newsome Creek,125,28,0,8,0,10,10,5,11,7,0
